razon_social,establecimiento,id_depto,nombre_rubro
CLEAN INVESTMENT SA,EL RETAMO,82098,AGRICULTURA
CLEAN INVESTMENT SA,SAN AMBROSIO Y  DON JESUS,82098,AGRICULTURA
CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO,82098,FRUTICULTURA/HORTICULTURA
COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA,82098,FRUTICULTURA
COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA II (EXFEDERADA RIOJANA SA),82098,FRUTICULTURA
COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,PARCELA 12,82098,FRUTICULTURA
COVARRUBIAS SA,COVARRUBIAS,82098,FRUTICULTURA
"DE LA VEGA, EDUARDO DANIEL",MARTA ELENA,82098,FRUTICULTURA
EMPRENDIMIENTOS DEL NORTE SRL,FINCA LA ANDALUZA,82098,FRUTICULTURA
FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 3),82098,FRUTICULTURA
FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 6),82098,FRUTICULTURA
FREZZI SACIAG,FINCA FREZZI II,82098,AGRICULTURA
FREZZI SACIAG,FINCA FREZZI,82098,FRUTICULTURA
FUERTE DEL BAÑADO S.A.,FUERTE DEL BAÑADO,82098,AGRICULTURA
"GARROT, CARLOS PEDRO",FINCA SANTA GUALBERTA,82098,FRUTICULTURA
"GONZALEZ RODRIGUEZ, GERMAN",DON BERNABE,82098,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",EX-BERETTA,82098,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",EX-MORENO,82098,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",NUEVA,82098,FRUTICULTURA
INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA,82098,FRUTICULTURA/HORTICULTURA
"IRIARTE, DANIEL",FINCA LAS ROSAS (IRIARTE),82098,FRUTICULTURA
"LARGUIA, JONAS",FINCA LA NUESTRA,82098,FRUTICULTURA
MAELCA S.A.,LOS RANQUELES,82098,AGRICULTURA
MAELCA SA,LOS CERRILLOS,82098,FRUTICULTURA/HORTICULTURA
OLIVARES S.A.,OLIVARES S.A.,82098,FRUTICULTURA
OLIVOS ARGENTINOS SA,LA AGUADA,82098,FRUTICULTURA
OLIVOS ARGENTINOS SA,SANTA FE,82098,FRUTICULTURA
ORO NEGRO S.A.,ORO NEGRO,82098,FRUTICULTURA
"SUELDO GIORGI, LAURA",FINCA MACHIA,82098,FRUTICULTURA
TALAMUYUNA S.A.,TALAMUYUNA,82098,AGRICULTURA
"TROYANO, RUFINO",PARCELA Nº8,82098,FRUTICULTURA
AGROLOSANDES S.A.,AGROLOSANDES,82098,FRUTICULTURA/HORTICULTURA
AGROROSAL S.A.,FINCA LA LUCERA,82098,FRUTICULTURA/HORTICULTURA
AGROSAVER S.A.,FINCA LA AGUANDA,82098,FRUTICULTURA/HORTICULTURA
ALTOS LAS HORMIGAS SAVYC,ALTOS LAS HORMIGAS FINCA,82098,FRUTICULTURA
ARGENTBIO S.R.L.,FINCA EL OLMO,82098,FRUTICULTURA/HORTICULTURA
ARTEL INC,EL LUCAS,82098,FRUTICULTURA
ARTEL INC,EL TINCHO,82098,FRUTICULTURA
ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA,82098,FRUTICULTURA/HORTICULTURA
AVE MARIA FIDEICOMISO,FINCA AVE MARIA AG,82098,FRUTICULTURA
AVE MARIA FIDEICOMISO,FINCA AVE MARIA B,82098,FRUTICULTURA
BAMENEX S.A.,FINCA DON JOAQUIN,82098,FRUTICULTURA/HORTICULTURA
BAMENEX S.A.,FINCA EL CARRIZAL,82098,FRUTICULTURA/HORTICULTURA
BEATRIZ VASQUEZ Y JUAN CARLOS CAMARGO SH,FINCA RINCON DESEADO,82098,FRUTICULTURA/HORTICULTURA
BEAU LIEU S.A.,BEAU LIEU SA,82098,FRUTICULTURA
BENITO Y NORMA PANELLA,FINCA PANELLA Y ANEXO,82098,FRUTICULTURA/HORTICULTURA
BIO AGRICULTORES S.A.,EL VERGEL,82098,FRUTICULTURA/HORTICULTURA
BIO-ARGENTINA S.A.,LA CELESTE,82098,FRUTICULTURA
BLANCO JOSE,UGARTECHE,82098,FRUTICULTURA
"BOCARDO, MARCELO",MARCELO BOCARDO,82098,FRUTICULTURA
BODEGA ARGENTO S.A.,FINCA UGARTECHE,82098,AGRICULTURA
BODEGA ARGENTO S.A.,FINCA ALTAMIRA,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LAS YEGUITAS,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LA PAZ,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LA ISLA,54098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA MONTECASEROS,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LOS CAMPAMENTOS,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS V.O.B. S.A.,FINCA AURA (EX BODEGAS Y VIÑEDOS V.O.B.S.A.),82098,FRUTICULTURA
BUONO BENITO ARNALDO,BUONO BENITO ARNALDO,82098,FRUTICULTURA/HORTICULTURA
CAMPAL S.A.,FINCA EL CAMPAL,58035,FRUTICULTURA/HORTICULTURA
CAMPO GRANDE S.A.,ESTANCIA LAS CHACRAS,58035,FRUTICULTURA/HORTICULTURA
CAMPOS DE LA COLONIA S.A.,FINCA LAS UVAS,58035,FRUTICULTURA/HORTICULTURA
CAÑA DE CASTILLA SRL,FINCA FABRICA,58035,AGRICULTURA
CAÑA DE CASTILLA SRL,FINCA IRIGOYEN,58035,AGRICULTURA
CAÑA DE CASTILLA SRL,FINCA IRIGOYEN FINAL,58035,AGRICULTURA
CAÑA DE CASTILLA SRL,FINCA LOS ALAMOS,58035,AGRICULTURA
CAROLINA BENEDETTI,LOS YOLES,58035,FRUTICULTURA
CK Y ASOCIADOS S.A.,FINCA LUNLUNTA,58035,FRUTICULTURA
CK Y ASOCIADOS S.A.,VILLA SECA,58035,FRUTICULTURA
COMPAÑIA AGRICOLA EL RODEO S.A.,FINCA ORGANICA SAN CARLOS,58035,FRUTICULTURA/HORTICULTURA
COMPAÑIA DE AGROSERVICIOS S.A.,DON JORGE,58035,FRUTICULTURA
CUNCO S.A.,FINCA CUNCO,58035,FRUTICULTURA/HORTICULTURA
DJALLAD ANA REBECA,LA AMISTAD,58035,FRUTICULTURA/HORTICULTURA
DOMAINE JEAN BOUSQUET  S.A.,FINCA MAIPU DELICIAS DE TUPUNGATO SA,58035,FRUTICULTURA
DOMAINE JEAN BOUSQUET  S.A.,FINCA DOMAINE BOUSQUET,58035,FRUTICULTURA
DOMAINE JEAN BOUSQUET  S.A.,FINCA EL ZAMPAL DELICIAS DE TUPUNGATO SA,58035,FRUTICULTURA
EDUARDO Y FABIAN CAMPAGNA SH,LOS CORRALITOS,58035,HORTICULTURA
EL MORO SRL,FINCA DINAMIA,58035,FRUTICULTURA
EMPRESA COMERCIAL EXPORTADORA S.A.,CHACRAS DE CORIA,58035,FRUTICULTURA
ESTABLECIMIENTOS VITIVINICOLAS ESCORIHUELA S.A.,ALTAMIRA,58035,FRUTICULTURA
ESTANCIA CASA DE UCO S.A.,ESTANCIA CASA DE UCO,58035,FRUTICULTURA/HORTICULTURA
FENIX S.A.,FINCA REAL DEL PADRE,58035,FRUTICULTURA/HORTICULTURA
FIDEICOMISO BAX,FIDEICOMISO BAX,58035,FRUTICULTURA/HORTICULTURA
FIDEICOMISO SANTA RITA,FINCA SANTA RITA,58035,AGRICULTURA
FINCA CONSTANZA SA,FINCA DOÑA CONSTANZA (EX FINCA EL MIRADOR),58035,FRUTICULTURA
FINCA VON WIGSTEIN,FINCA ALPAMANTA,62063,FRUTICULTURA
FRUTIHORTICOLA SAN NICOLAS SA,FRUTIHORTICOLA SAN NICOLAS,62042,FRUTICULTURA/HORTICULTURA
FRUTOS DE SANTA ROSA S.A.,FINCA BELTRAN,62042,FRUTICULTURA
FRUTOS DE SANTA ROSA S.A.,SANTA ROSA,62042,FRUTICULTURA
GRUPO PEÑAFLOR SA,FINCA LA PAZ,86028,FRUTICULTURA
GRUPO PEÑAFLOR SA,FINCA ALTO VERDE,62042,FRUTICULTURA
GRUPO PEÑAFLOR SA,FINCA SANTA ROSA,62042,FRUTICULTURA
HAGEN DE MONTERO GUILLERMINA,FINCA MONTERO,62042,FRUTICULTURA/HORTICULTURA
IZASKUN SA,FINCA CORTESIA,62042,FRUTICULTURA/HORTICULTURA
JESUS CARLOS FANTELLI E HIJOS,FINCA BODEGA,62042,FRUTICULTURA
JESUS CARLOS FANTELLI E HIJOS,BETTI,62042,FRUTICULTURA
JESUS CARLOS FANTELLI E HIJOS,AGUSTIN,86028,FRUTICULTURA
LA MARIA DE LOS ARBOLES SRL,LA MARIA DE LOS ARBOLES,86028,FRUTICULTURA/HORTICULTURA
LACIENDA SA,LACIENDA,62042,FRUTICULTURA/HORTICULTURA
LACIENDA SA,REPRESA TREGEA,62042,FRUTICULTURA/HORTICULTURA
LAS YEGUAS S.A.,LAS YEGUAS,62042,FRUTICULTURA/HORTICULTURA
LIPTOV S.A.,EL RANCHO,86028,FRUTICULTURA
LIPTOV S.A.,LA ESTRELLA,62042,FRUTICULTURA
LLIHUE S.A.,FINCA LA MAROLINA,62070,FRUTICULTURA
LOS EUCALIPTOS S.A.,FINCA LOS EUCALIPTOS,62042,FRUTICULTURA/HORTICULTURA
"MASI, TUPUNGATO VIGNETI LA ARBOLEDA SA",MASI VIGNETI LA ARBOLEDA SA,62042,FRUTICULTURA
MIX S.A.,UVAS DEL DESIERTO,62070,FRUTICULTURA
MONTLAIZ S.R.L.,LA FLOR,62042,FRUTICULTURA
MONTLAIZ S.R.L.,DOÑA LIDIA,62042,FRUTICULTURA
NADAL JUAN GUSTAVO,LA AMPARO,62042,FRUTICULTURA
OJO DE VINO SA,OJO DE VINO SA,62042,FRUTICULTURA
OLATE JUAN CARLOS,"MARQUEZ 1 Y 2, MOLLAR 1 Y 2 (GRUPO AP. MALARGÜE)",62042,APICULTURA
OLIVARES DE DON IGNACIO S.A.,LA LIBERTAD,62042,FRUTICULTURA
ORGANIC COSTAFLORES S.A.,FINCA COSTAFLORES,62042,FRUTICULTURA/HORTICULTURA
PALUMBO GOTTARDINI CARLOS ROBERTO,ORALIA STATE,62042,FRUTICULTURA/HORTICULTURA
PARRA SA,CUARTEL 24 (EX PARRA SA),62042,FRUTICULTURA
PATGO S.A,VIÑA PATRICIA,62042,FRUTICULTURA
PEDRO Y JORGE CECCHIN S.R.L.,FINCAS RUSSEL  - JUNIN  - UGARTECHE,62042,FRUTICULTURA/HORTICULTURA
PEÑAVID SA,FINCA TRIBUTO,62042,FRUTICULTURA
PROVIVA S.R.L,AGRELO,62042,FRUTICULTURA
PROVIVA S.R.L.,ALTAMIRA I,62042,FRUTICULTURA
PROVIVA S.R.L.,ALTAMIRA II,62042,FRUTICULTURA
PROVIVA S.R.L.,DRUMMOND,62042,FRUTICULTURA
PUENTE BLANCO S.A.,ESTANCIA EL TAMBILLO,62042,FRUTICULTURA/HORTICULTURA
PUENTE BLANCO S.A.,ESTANCIA LOS AMIGOS,62042,FRUTICULTURA/HORTICULTURA
PUERTO ANCONA S.A.,VISTA FLORES,62042,FRUTICULTURA/HORTICULTURA
R6 LA GUEVARINA S.A.,R6 LA GUEVARINA,62042,HORTICULTURA
RABIDA ESCOBAR MARIA PAULA,FINCA 2R,62042,FRUTICULTURA/HORTICULTURA
S.A. BODEGA ENRIQUE VOLLMER - UCO VALLEY,BODEGAS VOLLMER UCOVALLEY S.A.,62042,FRUTICULTURA
SANES S.A.,FINCA LA ULTIMA,62042,FRUTICULTURA/HORTICULTURA
SAVOINI MARIO ANTONIO,FINCA SAVOINI,62042,FRUTICULTURA
SOLANDES S.A.,SOLANDES,62042,FRUTICULTURA/HORTICULTURA
SONIA Y LILIANA FERRO S.H.,RODRIGUEZ PEÑA,62035,FRUTICULTURA
STAGNITTI ALBERTO,LA MACARENA,86028,FRUTICULTURA/HORTICULTURA
TACCHINI FABIO,VISTALBA,62042,FRUTICULTURA/HORTICULTURA
TEPEU S.R.L,FINCA MUÑOZ HNOS.,62042,FRUTICULTURA/HORTICULTURA
THIBAULT LEPOUTRE,FINCA CHACAYES NORTE (EX FINCA CHACAYES),62042,FRUTICULTURA
VAL DE FLORES S.A.,VAL DE FLORES,62042,FRUTICULTURA/HORTICULTURA
VALENCIA MIGUEL,LOS ALAMOS,62042,FRUTICULTURA
VALENCIA MIGUEL,MEDRANO,62042,FRUTICULTURA
"VALENCIA, ROBERTO OSCAR",FINCA VALENCIA,62042,FRUTICULTURA
VALENTIN BIANCHI SACIF,FINCA ASTI,62042,FRUTICULTURA
VALENTIN BIANCHI SACIF,FINCA LAS PAREDES,62042,FRUTICULTURA
VILLA ATUEL S.A.,FINCA VILLA ATUEL,62042,AGRICULTURA
VILLAR JUAN JOSE,FINCA DOÑA CARMEN,62042,FRUTICULTURA/HORTICULTURA
VIÑA ESENCIA S.A.,FINCA ALEGRA,62042,FRUTICULTURA
VIÑAS DE ALTO SALVADOR S.A.V.A.I.C,"FINCA ""DOÑA CRISTINA"" (INV E61522)",62042,FRUTICULTURA
VIÑAS DE ALTO SALVADOR S.A.V.A.I.C,"FINCA ""LA SEDE "" (INV F 01047)(EX CENTRAL)",62042,FRUTICULTURA
VIÑAS DE LUJAN S.R.L.,VIÑAS DE LUJAN,62042,FRUTICULTURA/HORTICULTURA
VITTORI ROBERTO Y VERONICA S.H.,CASTRO BARRO,62042,FRUTICULTURA
ACOSTA VILMAR,"IFAI - LOTE 1, LOTE 17",62042,AGRICULTURA
ALVARENGA ANTONIO JESUS,IFAI - LOTE 88,62042,AGRICULTURA
ALVARENGA GERONIMO FRANCISCO,IFAI - LOTE 88,62042,AGRICULTURA
ANIAYA HILARIO/ ANIAYA ALBERT / REIS ROBERTO,IFAI - LOTE 33/34,62042,AGRICULTURA
ANIAYA HILARIO/ALBERT,IFAI - LOTE 15,62042,AGRICULTURA
ANIAYA HILARIO/ALBERT,IFAI - LOTE 35,62042,AGRICULTURA
ANTUNEZ FLORES ANTONIO CARLOS/ QUENSSELL MARCOS/DE MATOS GRISELDA,IFAI - LOTE 26,62042,AGRICULTURA
ARJOL RICARDO ALFREDO / DOMINGUEZ CARLOS ALFREDO,IFAI - LOTE 3 Y 7,62042,AGRICULTURA
BAEZ ANTONIO SIMEON / RODRIGUEZ TERESA / BAEZ OSCAR RAMON,IFAI - LOTE 169 B,62042,AGRICULTURA
BALSARI EDGARDO ENRIQUE,IFAI - LOTE 77,62042,AGRICULTURA
"BARBARO, MARIO LUCIANO",MARIO BARBARO,62042,AGRICULTURA
BECKER CARLOS LUIS,IFAI - LOTE 24,62042,AGRICULTURA
BOGLIOTI JUAN JOSE,IFAI - LOTE 1,62042,AGRICULTURA
BOWALCZUK JESUS RAUL,IFAI - LOTE 11,62042,AGRICULTURA
BUBLITZ CARLOS / LUCAS JOSE / PETRY BLACIO / PETRY JOSE RAFAEL,IFAI - LOTE C,62042,AGRICULTURA
BUNNKOWSKI ELIO MARIO,IFAI - LOTE 115,66007,AGRICULTURA
CARDOZO ARLINDO JESUS / CARDOZO JESUS FELIX,IFAI - LOTE 143,66063,AGRICULTURA
CARDOZO JOSE LUIS,IFAI - LOTE 119 B,66140,AGRICULTURA
CARDOZO RICARDO ROGELIO,IFAI - LOTE 89,66140,AGRICULTURA
CARDOZO RICARDO ROGELIO,IFAI - LOTE 172,66042,AGRICULTURA
CARRE ANIBAL DANIEL/MACHADO MIRIAM GRACIELA,IFAI - LOTE 16,70126,AGRICULTURA
CARRE EMILIO/ ROJAS LILA AIDHEE / CARRE ULISES RAMON,IFAI - LOTE 4,70035,AGRICULTURA
"CAVIGIOLI, MARIO",CAVIGIOLI MARIO,70126,AGRICULTURA
CHESSANI JORGE / IASINSKI DANIELA LUCIA,IFAI - LOTE 15,82077,AGRICULTURA
CHESSANI MAXIMO,IFAI - LOTE 69,70035,AGRICULTURA
CUATRO CAMINOS S.R.L.,CUATRO CAMINOS,70035,AGRICULTURA
DA CRUZ MANUEL ROSALINO/DA CRUZ JOSE RAMON / DA CRUZ JORGE ARIEL / ROSANA ISABEL / SILVIO ORLANDO,IFAI - LOTE 90 A Y B,86182,AGRICULTURA
DA ROSA CARLOS/ WALTER FERREIRA DA ROSA / DE MATTOS BENITO / DE MATTOS MARIO,IFAI - LOTE 128 A,82077,AGRICULTURA
DA ROSA JOSE DANIEL/RODRIGUEZ EDELMIRA/DA ROSA ALEJANDRA,IFAI - LOTE 7,70077,AGRICULTURA
DALINGER MARGARITA IRENE,IFAI - LOTE 3 D,70077,AGRICULTURA
DE LA CRUZ FRANCISCO ASIS,IFAI - LOTE 23,70077,AGRICULTURA
DE LIMA ANGEL / MARTINEZ EZEQUIEL / SEGOVIA NADIA SOLEDAD,IFAI - LOTE 18-20,70077,AGRICULTURA
DE MIRANDA JUAN FRANCISCO/ DE MIRANDA JOSE FRANCISCO,IFAI - LOTE 173,70077,AGRICULTURA
DE OLIVERA CARLOS ORLANDO,IFAI - LOTE 11,70077,AGRICULTURA
DE OLIVERA HECTOR ELIAS /ADELA KARINA / RODRIGUEZ HILDA,IFAI - LOTE 10,70035,AGRICULTURA
DE OLIVERA HECTOR ELIAS /ADELA KARINA / RODRIGUEZ HILDA,IFAI - LOTE 4,70077,AGRICULTURA
DE OLIVERA HUMBERTO / ANIAYA HECTOR,IFAI - LOTE 19,82077,AGRICULTURA
DE OLIVERA VICTOR PLACIDO / ACOSTA CLAUDETTE,IFAI - LOTE 11,74007,AGRICULTURA
DENI ANTONIO / BATIROLLA LUIS PABLO / BATIROLA GUSTAVO,IFAI - LOTE FISCAL,74021,AGRICULTURA
DO SANTOS JUAN RAMON / RAMON,IFAI - LOTE 43,78021,AGRICULTURA
DO SANTOS UBALDO / LUCIA / LUCAS UBALDO DO SANTOS,IFAI - LOTE 150,78042,AGRICULTURA
DO SANTOS UBALDO / LUCIA / LUCAS UBALDO DO SANTOS / DO SANTOS JONATHAN,IFAI - LOTE 139,78021,AGRICULTURA
DORNELES JUAN CARLOS / HOFFMANN MARTINS LAUDELINO,IFAI - LOTE 4 B,50049,AGRICULTURA
DURAN AMBROSIO,IFAI - LOTE 73,86042,AGRICULTURA
DURAN AMBROSIO,IFAI - LOTE 12 Y 7,82098,AGRICULTURA
EICHEMBER EVALDO / CLARA DOCARMO FERNANDEZ,IFAI - LOTE 21,82098,AGRICULTURA
ENGER LIZARDO / RIVERO GLADIS A / AYALA ESILDA ENGER,IFAI - LOTE 148,82014,AGRICULTURA
ENGER LIZARDO LUIS,IFAI - LOTE 176,82119,AGRICULTURA
ENGERS LUCINDO / ENGERS CLOVIS MARCOS,IFAI - LOTE 22,82098,AGRICULTURA
ENRIQUE VICTOR ARRUA,MALCRIADO,86028,AGRICULTURA
ESCARVADOFSKI LIZARDO TOMAS / CERRI ORESTINA,IFAI - LOTE 39 B,86140,AGRICULTURA
ESCARVADOFSKI LIZARDO TOMAS/ CERRI ORESTINA,IFAI - LOTE 1 Y 2,90084,AGRICULTURA
ESCARVADOFSKI LUIS FABIAN,IFAI - LOTE 17/18,90084,AGRICULTURA
ESPINDOLA ALCIMIRO / FLORES MARTA,IFAI - LOTE 103,90084,AGRICULTURA
ESPINDOLA ALCIMIRO / FLORES MARTA,IFAI - LOTE 24 A,90084,AGRICULTURA
FERNANDEZ PEREIRA JOSE / JOSE HECTOR,IFAI - LOTE 94,90084,AGRICULTURA
FERREYRA BLANCA LUCY,IFAI - LOTE 179,90084,AGRICULTURA
FERREYRA LIDIA/ ELIZARDO GABRIEL,IFAI - LOTE 176,90070,AGRICULTURA
FERREYRA LIDIO RAMON/ ELIZARDO GABRIEL / MIRANDA ROSANA BEATRIZ / RIVERO MARIA A. YANINA,IFAI - LOTE 174,90070,AGRICULTURA
FERREYRA LORENZO / FERREYRA ABEL MEDELI,IFAI - LOTE 27,90119,AGRICULTURA
FERREYRA PEDRO,IFAI - LOTE 13,90070,AGRICULTURA
FISHER CLAUDIO ARIEL/ TIERLING RAUL,IFAI - LOTE 8,90042,AGRICULTURA
FUNDACION ALBERTO ROTH,FUNDACION ALBERTO ROTH,90042,AGRICULTURA
GALVAN MARIELA ANDREA,IFAI - LOTE 162-163,90021,AGRICULTURA
GALVAN MARIELA ANDREA,IFAI - LOTE 4,90049,AGRICULTURA
GALVAN MARIELA ANDREA,IFAI - LOTE 19,90070,AGRICULTURA
GOMEZ ABEL,IFAI - LOTE 153,06126,AGRICULTURA
GOMEZ CARLOS RUBEN,IFAI - LOTE 153,06070,AGRICULTURA
GOMEZ HECTOR,IFAI - LOTE 94,06049,AGRICULTURA
GONZALEZ CLAUDIA/BECKER OSCAR,IFAI - LOTE 36,06021,AGRICULTURA
GONZALEZ MARINO/ GONZALEZ CORNELIO/ GONZALEZ SOLEDAD MARIELA,IFAI - LOTE 99,06021,AGRICULTURA
GONZALEZ OSVALDO MARTIN,IFAI - LOTE 15,06515,AGRICULTURA
GRABARCZUK TERESA/STECIUK NORA ISABEL,IFAI - LOTE 2 A,06875,AGRICULTURA
GROSS VICTOR DANIEL,IFAI - LOTE 8F,06791,AGRICULTURA
GRZVINSKI CLAUDIO / HECTOR JOSE,IFAI - LOTE 35,06469,AGRICULTURA
HARTMANN MARIO / PRESTES LORENA ADRIANA / PRESTES CARLOS DAVID,IFAI - LOTE 69,06070,AGRICULTURA
HARTMANN SIBANO / HARTMANN MAURO,IFAI - LOTE 121-123,06623,AGRICULTURA
HEINZMANN ENRIQUE CRISTIAN,ENRIQUE CRISTIAN HEINZMANN,06224,AGRICULTURA
JAKIMZUK  PEDRO MARCOS,IFAI - LOTE 195,06833,AGRICULTURA
JAKIMZUK LIDIA/ OLIVERA RUBEN,IFAI - LOTE 8,06021,AGRICULTURA
